run_id,block_id,sequence_index,measurement_index,timestamp,timestamp_ns,checkpoint,variant,fixture,raw_elapsed_ns,parses,ns_per_parse,cpu_affinity,control_candidate_role
p1-v2-primary-3716b0b,block-005,125,11,2026-08-22T16:18:48.472509+00:00,1787415528472532547,H5,O1,tiny_03_pair,78877433,10000,7887.7433,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-005,126,11,2026-08-22T16:18:48.548950+00:00,1787415528548969234,H4,O1,tiny_03_pair,76375178,10000,7637.5178,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-006,127,12,2026-08-22T16:18:48.550670+00:00,1787415528550685118,C,O2,tiny_03_pair,1651865,10000,165.1865,taskset -c 0,control
p1-v2-primary-3716b0b,block-006,128,12,2026-08-22T16:18:48.632150+00:00,1787415528632168987,H4,O1,tiny_03_pair,81419229,10000,8141.9229,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-006,129,12,2026-08-22T16:18:48.709614+00:00,1787415528709632374,H5,O1,tiny_03_pair,77405039,10000,7740.5039,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-006,130,13,2026-08-22T16:18:48.788557+00:00,1787415528788575666,H5,O1,tiny_03_pair,78887303,10000,7888.7303,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-006,131,13,2026-08-22T16:18:48.866994+00:00,1787415528867014531,H4,O1,tiny_03_pair,78375246,10000,7837.5246,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-006,132,13,2026-08-22T16:18:48.868809+00:00,1787415528868832123,C,O2,tiny_03_pair,1734923,10000,173.4923,taskset -c 0,control
p1-v2-primary-3716b0b,block-007,133,14,2026-08-22T16:18:48.950735+00:00,1787415528950777931,H4,O1,tiny_03_pair,81808070,10000,8180.807,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-007,134,14,2026-08-22T16:18:49.032151+00:00,1787415529032172451,H5,O1,tiny_03_pair,81314941,10000,8131.4941,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-007,135,15,2026-08-22T16:18:49.111408+00:00,1787415529111433665,H5,O1,tiny_03_pair,79187925,10000,7918.7925,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-007,136,15,2026-08-22T16:18:49.191130+00:00,1787415529191161101,H4,O1,tiny_03_pair,79507409,10000,7950.7409,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-007,137,14,2026-08-22T16:18:49.193383+00:00,1787415529193404137,C,O2,tiny_03_pair,2172777,10000,217.2777,taskset -c 0,control
p1-v2-primary-3716b0b,block-007,138,15,2026-08-22T16:18:49.195334+00:00,1787415529195350547,C,O2,tiny_03_pair,1874901,10000,187.4901,taskset -c 0,control
p1-v2-primary-3716b0b,block-008,139,16,2026-08-22T16:18:49.273032+00:00,1787415529273050330,H5,O1,tiny_03_pair,77630314,10000,7763.0314,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-008,140,17,2026-08-22T16:18:49.349546+00:00,1787415529349564102,H5,O1,tiny_03_pair,76457443,10000,7645.7443,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-008,141,16,2026-08-22T16:18:49.426300+00:00,1787415529426324772,H4,O1,tiny_03_pair,76685941,10000,7668.5941,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-008,142,16,2026-08-22T16:18:49.428072+00:00,1787415529428087795,C,O2,tiny_03_pair,1706884,10000,170.6884,taskset -c 0,control
p1-v2-primary-3716b0b,block-008,143,17,2026-08-22T16:18:49.429692+00:00,1787415529429712581,C,O2,tiny_03_pair,1564216,10000,156.4216,taskset -c 0,control
p1-v2-primary-3716b0b,block-008,144,17,2026-08-22T16:18:49.516961+00:00,1787415529516983863,H4,O1,tiny_03_pair,87200284,10000,8720.0284,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-009,145,18,2026-08-22T16:18:49.602697+00:00,1787415529602740061,H5,O1,tiny_03_pair,85397013,10000,8539.7013,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-009,146,18,2026-08-22T16:18:49.695928+00:00,1787415529695950952,H4,O1,tiny_03_pair,93120863,10000,9312.0863,taskset -c 0,candidate
